Time (ps),Radius (nm)
1286,1.56525
1287,1.56532
1288,1.56544
1289,1.56516
1290,1.56517
1291,1.5652
1292,1.56545
1293,1.56526
1294,1.565
1295,1.56528
1296,1.56516
1297,1.56486
1298,1.56537
1299,1.56505
1300,1.56531
1301,1.56522
1302,1.5649
1303,1.56528
1304,1.56509
1305,1.56485
1306,1.56546
1307,1.56528
1308,1.56497
1309,1.56539
1310,1.56516
1311,1.56466
1312,1.56544
1313,1.56484
1314,1.56487
1315,1.56513
1316,1.56542
1317,1.56498
1318,1.56514
1319,1.56542
1320,1.56477
1321,1.56559
1322,1.56453
1323,1.56551
1324,1.56508
1325,1.56507
1326,1.56562
1327,1.56479
1328,1.5649
1329,1.5653
1330,1.56507
1331,1.56503
1332,1.56544
1333,1.56512
1334,1.56471
1335,1.56574
1336,1.56486
1337,1.56482
1338,1.56598
1339,1.56469
1340,1.56519
1341,1.5658
1342,1.5649
1343,1.56522
1344,1.5651
1345,1.56528
1346,1.56468
1347,1.56517
1348,1.56513
1349,1.56555
1350,1.56552
1351,1.56509
1352,1.56528
1353,1.56522
1354,1.56512
1355,1.56501
1356,1.56537
1357,1.56496
1358,1.56535
1359,1.56479
1360,1.5654
1361,1.56499
1362,1.56507
1363,1.56514
1364,1.56514
1365,1.56497
1366,1.56539
1367,1.56479
1368,1.56522
1369,1.56529
1370,1.56459
1371,1.56484
1372,1.56534
1373,1.56497
1374,1.56497
1375,1.56538
1376,1.56443
1377,1.56537
1378,1.56508
1379,1.56522
1380,1.56554
1381,1.56479
1382,1.56529
1383,1.56491
1384,1.56527
1385,1.56546
1386,1.56437
1387,1.56554
1388,1.56494
1389,1.56524
1390,1.56569
1391,1.56487
1392,1.56532
1393,1.56521
1394,1.56435
1395,1.56572
1396,1.56468
1397,1.56516
1398,1.56517
1399,1.56488
1400,1.56512
1401,1.56493
1402,1.56524
1403,1.56505
1404,1.56487
1405,1.56567
1406,1.56548
1407,1.56478
1408,1.56568
1409,1.56508
1410,1.56573
1411,1.5652
1412,1.56503
1413,1.56493
1414,1.56511
1415,1.56515
1416,1.56528
1417,1.56523
1418,1.56541
1419,1.565
1420,1.56505
1421,1.56494
1422,1.56509
1423,1.56512
1424,1.56511
1425,1.56522
1426,1.56524
1427,1.56499
1428,1.56527
1429,1.56497
1430,1.56519
1431,1.56517
1432,1.56496
1433,1.56544
1434,1.56456
1435,1.56541
1436,1.56501
1437,1.56525
1438,1.56532
1439,1.56526
1440,1.56461
1441,1.56509
1442,1.56554
1443,1.56533
1444,1.56524
1445,1.56501
1446,1.56532
1447,1.56507
1448,1.56471
1449,1.56505
1450,1.56504
1451,1.5654
1452,1.56513
1453,1.56517
1454,1.56528
1455,1.56486
1456,1.56539
1457,1.56484
1458,1.56518
1459,1.56526
1460,1.56505
1461,1.56522
1462,1.56532
1463,1.56527
1464,1.56511
1465,1.56524
1466,1.56522
1467,1.56485
1468,1.56541
1469,1.56531
1470,1.56486
1471,1.56531
1472,1.56536
1473,1.56448
1474,1.56542
1475,1.56475
1476,1.5649
1477,1.56528
1478,1.56488
1479,1.56534
1480,1.56526
1481,1.56484
1482,1.56514
1483,1.56528
1484,1.56514
1485,1.5647
1486,1.56524
1487,1.56563
1488,1.56475
1489,1.56556
1490,1.56451
1491,1.56574
1492,1.56545
1493,1.56492
1494,1.56559
1495,1.56498
1496,1.56508
1497,1.5653
1498,1.56504
1499,1.56554
1500,1.56468
1501,1.56517
1502,1.56557
1503,1.56479
1504,1.56554
1505,1.56503
1506,1.56493
1507,1.56521
1508,1.56517
1509,1.56551
1510,1.56571
1511,1.56461
1512,1.56535
1513,1.56517
1514,1.56526
1515,1.56533
1516,1.5649
1517,1.56534
1518,1.56554
1519,1.56491
1520,1.56492
1521,1.56546
1522,1.56453
1523,1.56545
1524,1.56516
1525,1.56507
1526,1.56552
1527,1.56521
1528,1.56474
1529,1.56514
1530,1.56462
1531,1.56555
1532,1.56456
1533,1.56517
1534,1.56525
1535,1.56528
1536,1.56514
1537,1.56532
1538,1.5653
1539,1.56528
1540,1.5653
1541,1.56507
1542,1.56558
1543,1.56527
1544,1.56508
1545,1.56478
1546,1.56508
1547,1.56511
1548,1.56515
1549,1.56527
1550,1.56494
1551,1.5656
1552,1.56479
1553,1.56507
1554,1.56534
1555,1.56459
1556,1.5654
1557,1.56504
1558,1.56555
1559,1.56568
1560,1.56516
1561,1.56495
1562,1.56514
1563,1.56504
1564,1.56536
1565,1.56517
1566,1.56534
1567,1.56451
1568,1.5656
1569,1.56521
1570,1.56448
1571,1.56549
1572,1.56516
1573,1.56472
1574,1.56536
1575,1.56509
1576,1.56527
1577,1.56483
1578,1.56552
1579,1.56501
1580,1.56538
1581,1.56532
1582,1.56552
1583,1.5654
1584,1.56478
1585,1.56546
1586,1.56508
1587,1.56471
1588,1.56577
1589,1.56507
1590,1.56491
1591,1.56563
1592,1.56508
1593,1.56478
1594,1.56542
1595,1.56523
1596,1.56534
1597,1.56505
1598,1.56521
1599,1.56517
1600,1.56506
1601,1.56555
1602,1.56489
1603,1.56483
1604,1.56549
1605,1.56537
1606,1.5653
1607,1.56525
1608,1.56515
1609,1.56457
1610,1.5655
1611,1.56508
1612,1.56508
1613,1.5651
1614,1.56539
1615,1.56528
1616,1.56496
1617,1.5654
1618,1.56512
1619,1.56483
1620,1.56545
1621,1.56537
1622,1.56541
1623,1.56494
1624,1.56507
1625,1.56547
1626,1.56508
1627,1.5654
1628,1.565
1629,1.56501
1630,1.56493
1631,1.56503
1632,1.56524
1633,1.56513
1634,1.56532
1635,1.56495
1636,1.56522
1637,1.56479
1638,1.56512
1639,1.56552
1640,1.56464
1641,1.56519
1642,1.56529
1643,1.56525
1644,1.56525
1645,1.56514
1646,1.56522
1647,1.56529
1648,1.56493
1649,1.56511
1650,1.56545
1651,1.56493
1652,1.56504
1653,1.56546
1654,1.56496
1655,1.56521
1656,1.56521
1657,1.56481
1658,1.56583
1659,1.56477
1660,1.5649
1661,1.56542
1662,1.56485
1663,1.56533
1664,1.5651
1665,1.56487
1666,1.5653
1667,1.56529
1668,1.56508
1669,1.56525
1670,1.56501
1671,1.56482
1672,1.56537
1673,1.56531
1674,1.56496
1675,1.56546
1676,1.56521
1677,1.56487
1678,1.56523
1679,1.5652
1680,1.56489
1681,1.56513
1682,1.56531
1683,1.56494
1684,1.56527
1685,1.56539
1686,1.56518
1687,1.56533
1688,1.56504
1689,1.56511
1690,1.56561
1691,1.56482
1692,1.56548
1693,1.56529
1694,1.56485
1695,1.56536
1696,1.56514
1697,1.5648
1698,1.56525
1699,1.56516
1700,1.56511
1701,1.56504
1702,1.5654
1703,1.56464
1704,1.56529
1705,1.5653
1706,1.5649
1707,1.56539
1708,1.56503
1709,1.56568
1710,1.56521
1711,1.56472
1712,1.56539
1713,1.56496
1714,1.56487
1715,1.56585
1716,1.56482
1717,1.56541
1718,1.56512
1719,1.56473
1720,1.56594
1721,1.56511
1722,1.56448
1723,1.56565
1724,1.56475
1725,1.56543
1726,1.56557
1727,1.56473
1728,1.56577
1729,1.56519
1730,1.56486
1731,1.56559
1732,1.56471
1733,1.56464
1734,1.56568
1735,1.56466
1736,1.56504
1737,1.56515
1738,1.5652
1739,1.56522
1740,1.56488
1741,1.56549
1742,1.56468
1743,1.56529
1744,1.56523
