E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
2180.17,9.94377,9.88253,0.0612381
2181.51,9.94405,9.88289,0.0611637
2182.84,9.94398,9.88289,0.0610894
2184.18,9.94413,9.88312,0.0610153
2185.51,9.94394,9.883,0.0609413
2186.85,9.94391,9.88304,0.0608674
2188.18,9.94416,9.88337,0.0607937
2189.51,9.94452,9.8838,0.0607201
2190.85,9.94424,9.8836,0.0606466
2192.18,9.94438,9.8838,0.0605732
2193.52,9.94436,9.88386,0.0605
2194.85,9.94474,9.88431,0.060427
2196.19,9.94501,9.88466,0.060354
2197.52,9.94502,9.88474,0.0602812
2198.85,9.94471,9.8845,0.0602085
2200.19,9.94475,9.88462,0.060136
2201.52,9.94498,9.88491,0.0600636
2202.86,9.94508,9.88509,0.0599913
2204.19,9.94508,9.88516,0.0599191
2205.53,9.94518,9.88534,0.0598471
2206.86,9.94494,9.88516,0.0597752
2208.19,9.94499,9.88528,0.0597034
2209.53,9.94532,9.88569,0.0596318
2210.86,9.94559,9.88603,0.0595603
2212.2,9.94583,9.88634,0.0594889
2213.53,9.94581,9.88639,0.0594176
2214.87,9.94597,9.88662,0.0593465
2216.2,9.94627,9.88699,0.0592755
2217.53,9.94617,9.88696,0.0592046
2218.87,9.94661,9.88747,0.0591339
2220.2,9.94629,9.88723,0.0590633
2221.54,9.94631,9.88731,0.0589928
2222.87,9.94641,9.88749,0.0589224
2224.21,9.94677,9.88792,0.0588521
2225.54,9.94592,9.88714,0.058782
2226.87,9.94675,9.88804,0.058712
2228.21,9.9466,9.88796,0.0586422
2229.54,9.94684,9.88827,0.0585724
2230.88,9.9468,9.8883,0.0585028
2232.21,9.94724,9.8888,0.0584333
2233.55,9.94791,9.88954,0.0583639
2234.88,9.94743,9.88914,0.0582947
2236.21,9.94716,9.88894,0.0582256
2237.55,9.94851,9.89036,0.0581566
2238.88,9.9478,9.88971,0.0580877
2240.22,9.9482,9.89018,0.0580189
2241.55,9.94756,9.88961,0.0579503
2242.88,9.94844,9.89056,0.0578818
2244.22,9.94855,9.89073,0.0578134
2245.55,9.94847,9.89073,0.0577451
2246.89,9.94938,9.8917,0.057677
2248.22,9.94915,9.89154,0.0576089
2249.56,9.94916,9.89162,0.057541
2250.89,9.94877,9.8913,0.0574732
2252.22,9.94855,9.89115,0.0574055
2253.56,9.94893,9.89159,0.057338
2254.89,9.94926,9.89199,0.0572706
2256.23,9.94975,9.89255,0.0572032
2257.56,9.95028,9.89314,0.057136
2258.9,9.95013,9.89306,0.057069
2260.23,9.94956,9.89256,0.057002
2261.56,9.94979,9.89285,0.0569352
2262.9,9.95042,9.89355,0.0568684
2264.23,9.94992,9.89312,0.0568018
2265.57,9.94991,9.89318,0.0567353
2266.9,9.95017,9.89351,0.056669
2268.24,9.95119,9.89459,0.0566027
2269.57,9.95086,9.89433,0.0565365
2270.9,9.95119,9.89472,0.0564705
2272.24,9.95083,9.89442,0.0564046
2273.57,9.95135,9.89501,0.0563388
2274.91,9.95238,9.89611,0.0562731
2276.24,9.9511,9.89489,0.0562076
2277.58,9.95085,9.89471,0.0561421
2278.91,9.95144,9.89536,0.0560768
2280.24,9.95211,9.8961,0.0560115
2281.58,9.95323,9.89728,0.0559464
2282.91,9.95275,9.89687,0.0558814
2284.25,9.95248,9.89666,0.0558165
2285.58,9.95265,9.8969,0.0557518
2286.92,9.95241,9.89672,0.0556871
2288.25,9.95292,9.89729,0.0556225
2289.58,9.95424,9.89868,0.0555581
2290.92,9.95294,9.89744,0.0554938
2292.25,9.95278,9.89735,0.0554296
2293.59,9.95309,9.89772,0.0553655
2294.92,9.95292,9.89762,0.0553015
2296.26,9.9526,9.89736,0.0552376
2297.59,9.95386,9.89869,0.0551738
