Time (ns),Water after lsq fit to Water
0.0751120,1.0708062
0.0751940,1.0695856
0.0752760,0.9535028
0.0753580,1.0893658
0.0754400,1.0381868
0.0755220,1.0386755
0.0756040,1.0658685
0.0756860,1.0665301
0.0757680,1.0400902
0.0758500,1.0402615
0.0759320,0.9843589
0.0760140,1.0679681
0.0760960,1.0683977
0.0761780,1.0424263
0.0762600,1.0326492
0.0763420,1.0323814
0.0764240,1.1124861
0.0765060,1.0854073
0.0765880,1.0850796
0.0766700,1.0840888
0.0767520,1.1853284
0.0768340,1.1152146
0.0769160,1.0372085
0.0769980,1.0374432
0.0770800,1.0653766
0.0771620,1.0400891
0.0772440,1.0596939
0.0773260,1.0603513
0.0774080,1.0859652
0.0774900,1.0869547
0.0775720,1.1627684
0.0776540,1.1387266
0.0777360,0.9754215
0.0778180,1.0029801
0.0779000,1.0299323
0.0779820,1.0312208
0.0780640,0.9760386
0.0781460,1.0046848
0.0782280,1.0060234
0.0783100,0.9775516
0.0783920,0.9760904
0.0784740,0.9750576
0.0785560,1.0577935
0.0786380,1.0584628
0.0787200,1.0029697
0.0788020,1.0038790
0.0788840,1.0044497
0.0789660,1.0056331
0.0790480,1.0071106
0.0791300,1.0032180
0.0792120,1.0611276
0.0792940,1.0612501
0.0793760,1.0868827
0.0794580,1.0613045
0.0795400,1.0888899
0.0796220,1.0885628
0.0797040,1.0614312
0.0797860,1.0597251
0.0798680,1.0589578
0.0799500,1.0591825
0.0800320,0.9853962
0.0801140,1.0680488
0.0801960,1.0677078
0.0802780,1.0415752
0.0803600,1.1212859
0.0804420,1.0972305
0.0805240,1.0721860
0.0806060,1.0383460
0.0806880,1.0379834
0.0807700,1.0873934
0.0808520,1.0098404
0.0809340,1.0379003
0.0810160,1.0097545
0.0810980,1.0093724
0.0811800,1.0627765
0.0812620,1.0082531
0.0813440,1.0607811
0.0814260,1.0341166
0.0815080,1.1362359
0.0815900,1.1375014
0.0816720,1.1359432
0.0817540,1.1128931
0.0818360,1.1134999
0.0819180,1.0872313
0.0820000,1.0883206
0.0820820,1.0886642
0.0821640,1.1155866
0.0822460,1.0081476
0.0823280,1.0045684
0.0824100,1.0590067
0.0824920,1.0595453
0.0825740,1.0049233
0.0826560,1.0071475
0.0827380,1.0068920
0.0828200,1.0624418
0.0829020,1.0359467
0.0829840,1.0352947
0.0830660,0.9774105
0.0831480,0.9766950
0.0832300,1.0338774
0.0833120,1.0326494
0.0833940,1.0327717
0.0834760,1.0847401
0.0835580,1.1365678
0.0836400,1.1337485
0.0837220,1.0841635
0.0838040,1.0562789
0.0838860,1.0576390
0.0839680,1.0322042
0.0840500,1.0039018
0.0841320,1.0029154
0.0842140,1.0024325
0.0842960,1.0022510
0.0843780,1.0025283
0.0844600,1.0300959
0.0845420,1.0587281
0.0846240,1.0381178
0.0847060,0.9814550
0.0847880,0.9818089
0.0848700,1.0638600
0.0849520,1.0580607
0.0850340,1.0291527
0.0851160,1.0843454
0.0851980,1.0839892
0.0852800,1.0557203
0.0853620,1.0827541
0.0854440,1.0843459
0.0855260,1.1115157
0.0856080,0.9760354
0.0856900,0.9759327
0.0857720,0.9769902
0.0858540,0.9773864
0.0859360,0.9771933
0.0860180,0.9788449
0.0861000,1.0875923
0.0861820,1.0878514
0.0862640,1.0882611
0.0863460,1.0609320
0.0864280,1.0614220
0.0865100,1.0618045
0.0865920,1.0617048
0.0866740,1.0616869
0.0867560,1.0326306
0.0868380,1.0328695
0.0869200,1.0333624
0.0870020,1.0317401
0.0870840,1.0316991
0.0871660,1.0047574
0.0872480,1.0329087
0.0873300,1.1116647
0.0874120,1.0864194
0.0874940,1.0874759
0.0875760,0.9760015
0.0876580,1.0049812
0.0877400,1.0332291
0.0878220,1.1116195
0.0879040,1.0862082
0.0879860,1.0863307
0.0880680,1.0860199
0.0881500,1.0854443
0.0882320,1.0317687
0.0883140,1.0586858
0.0883960,1.0599310
0.0884780,1.0305410
0.0885600,1.0585508
0.0886420,1.0299166
0.0887240,1.0834268
0.0888060,1.0298518
0.0888880,1.0311354
0.0889700,1.0847433
0.0890520,1.0311383
0.0891340,1.0857948
0.0892160,1.0600876
0.0892980,1.0607710
0.0893800,1.0332816
0.0894620,1.0340308
0.0895440,1.0616618
0.0896260,1.0331639
0.0897080,1.0603057
0.0897900,1.0605680
0.0898720,1.0330418
0.0899540,1.0320714
0.0900360,1.0049921
0.0901180,1.0054401
0.0902000,1.0322033
0.0902820,1.0337436
0.0903640,1.0362415
0.0904460,1.0378260
0.0905280,1.0646251
0.0906100,0.9806854
0.0906920,0.9815327
