Time (ns),System after lsq fit to System
0.0034800,0.3912328
0.0034850,0.3912825
0.0034900,0.3913279
0.0034950,0.3913742
0.0035000,0.3903847
0.0035050,0.3904242
0.0035100,0.3904761
0.0035150,0.3905312
0.0035200,0.3905817
0.0035250,0.3906244
0.0035300,0.3906618
0.0035350,0.3906990
0.0035400,0.3907395
0.0035450,0.3907848
0.0035500,0.3908340
0.0035550,0.3908851
0.0035600,0.3909354
0.0035650,0.3909835
0.0035700,0.3910302
0.0035750,0.3910789
0.0035800,0.3911341
0.0035850,0.3911972
0.0035900,0.3912647
0.0035950,0.3913305
0.0036000,0.4301148
0.0036050,0.4301446
0.0036100,0.4301789
0.0036150,0.4302196
0.0036200,0.4302648
0.0036250,0.4303096
0.0036300,0.4303511
0.0036350,0.4303881
0.0036400,0.4304202
0.0036450,0.4304487
0.0036500,0.4304764
0.0036550,0.4305074
0.0036600,0.4305453
0.0036650,0.4305907
0.0036700,0.4306419
0.0036750,0.4306961
0.0036800,0.4307490
0.0036850,0.4307957
0.0036900,0.4308331
0.0036950,0.4308623
0.0037000,0.4445157
0.0037050,0.4445270
0.0037100,0.4445508
0.0037150,0.4445834
0.0037200,0.4446188
0.0037250,0.4446505
0.0037300,0.4446745
0.0037350,0.4446914
0.0037400,0.4447062
0.0037450,0.4447241
0.0037500,0.4447487
0.0037550,0.4447795
0.0037600,0.4448137
0.0037650,0.4448473
0.0037700,0.4448774
0.0037750,0.4449039
0.0037800,0.4449308
0.0037850,0.4449651
0.0037900,0.4450111
0.0037950,0.4450659
0.0038000,0.4337447
0.0038050,0.4337872
0.0038100,0.4338391
0.0038150,0.4338947
0.0038200,0.4339481
0.0038250,0.4339957
0.0038300,0.4340377
0.0038350,0.4340762
0.0038400,0.4341140
0.0038450,0.4341543
0.0038500,0.4341993
0.0038550,0.4342494
0.0038600,0.4343016
0.0038650,0.4343509
0.0038700,0.4343942
0.0038750,0.4344330
0.0038800,0.4344738
0.0038850,0.4345231
0.0038900,0.4345830
0.0038950,0.4346512
0.0039000,0.4201421
0.0039050,0.4201804
0.0039100,0.4202149
0.0039150,0.4202440
0.0039200,0.4202698
0.0039250,0.4202974
0.0039300,0.4203294
0.0039350,0.4203661
0.0039400,0.4204054
0.0039450,0.4204454
0.0039500,0.4204850
0.0039550,0.4205239
0.0039600,0.4205616
0.0039650,0.4205970
0.0039700,0.4206300
0.0039750,0.4206613
0.0039800,0.4206925
0.0039850,0.4207227
0.0039900,0.4207488
0.0039950,0.4207696
0.0040000,0.4204777
0.0040050,0.4204986
0.0040100,0.4205282
0.0040150,0.4205647
0.0040200,0.4206060
0.0040250,0.4206495
0.0040300,0.4206932
0.0040350,0.4207379
0.0040400,0.4207855
0.0040450,0.4208364
0.0040500,0.4208885
0.0040550,0.4209380
0.0040600,0.4209823
0.0040650,0.4210200
0.0040700,0.4210533
0.0040750,0.4210854
0.0040800,0.4211179
0.0040850,0.4211516
0.0040900,0.4211856
0.0040950,0.4212198
0.0041000,0.4031964
0.0041050,0.4032074
0.0041100,0.4032274
0.0041150,0.4032550
0.0041200,0.4032881
0.0041250,0.4033251
0.0041300,0.4033643
0.0041350,0.4034034
0.0041400,0.4034407
0.0041450,0.4034772
0.0041500,0.4035130
0.0041550,0.4035455
0.0041600,0.4035718
0.0041650,0.4035921
0.0041700,0.4036079
0.0041750,0.4036201
0.0041800,0.4036283
0.0041850,0.4036326
0.0041900,0.4036332
0.0041950,0.4036289
0.0042000,0.4308310
0.0042050,0.4308331
0.0042100,0.4308336
0.0042150,0.4308330
0.0042200,0.4308350
0.0042250,0.4308432
0.0042300,0.4308595
0.0042350,0.4308830
0.0042400,0.4309108
0.0042450,0.4309396
0.0042500,0.4309660
0.0042550,0.4309877
0.0042600,0.4310051
0.0042650,0.4310215
0.0042700,0.4310413
0.0042750,0.4310661
0.0042800,0.4310949
0.0042850,0.4311253
0.0042900,0.4311543
0.0042950,0.4311791
0.0043000,0.4104741
0.0043050,0.4104552
0.0043100,0.4104477
0.0043150,0.4104570
0.0043200,0.4104858
0.0043250,0.4105310
0.0043300,0.4105846
0.0043350,0.4106380
0.0043400,0.4106866
0.0043450,0.4107310
0.0043500,0.4107735
0.0043550,0.4108167
0.0043600,0.4108604
0.0043650,0.4109011
0.0043700,0.4109343
0.0043750,0.4109590
0.0043800,0.4109779
0.0043850,0.4109938
