Time (ns),non-Water after lsq fit to non-Water
0.0051500,0.0615316
0.0051550,0.0615427
0.0051600,0.0615540
0.0051650,0.0615649
0.0051700,0.0615748
0.0051750,0.0615831
0.0051800,0.0615900
0.0051850,0.0615959
0.0051900,0.0616013
0.0051950,0.0616068
0.0052000,0.0245164
0.0052050,0.0245271
0.0052100,0.0245396
0.0052150,0.0245535
0.0052200,0.0245681
0.0052250,0.0245840
0.0052300,0.0246011
0.0052350,0.0246201
0.0052400,0.0246403
0.0052450,0.0246610
0.0052500,0.0246818
0.0052550,0.0247010
0.0052600,0.0247178
0.0052650,0.0247327
0.0052700,0.0247476
0.0052750,0.0247642
0.0052800,0.0247820
0.0052850,0.0248008
0.0052900,0.0248195
0.0052950,0.0248364
0.0053000,0.0248506
0.0053050,0.0248623
0.0053100,0.0248731
0.0053150,0.0248828
0.0053200,0.0248916
0.0053250,0.0249001
0.0053300,0.0249073
0.0053350,0.0249132
0.0053400,0.0249174
0.0053450,0.0249190
0.0053500,0.0249175
0.0053550,0.0249143
0.0053600,0.0249118
0.0053650,0.0249106
0.0053700,0.0249102
0.0053750,0.0249115
0.0053800,0.0249140
0.0053850,0.0249158
0.0053900,0.0249152
0.0053950,0.0249126
0.0054000,0.0829934
0.0054050,0.0829959
0.0054100,0.0830006
0.0054150,0.0830078
0.0054200,0.0830179
0.0054250,0.0830312
0.0054300,0.0830474
0.0054350,0.0830658
0.0054400,0.0830860
0.0054450,0.0831075
0.0054500,0.0831293
0.0054550,0.0831499
0.0054600,0.0831677
0.0054650,0.0831821
0.0054700,0.0831926
0.0054750,0.0831998
0.0054800,0.0832043
0.0054850,0.0832073
0.0054900,0.0832093
0.0054950,0.0832115
0.0055000,0.1006020
0.0055050,0.1005862
0.0055100,0.1005776
0.0055150,0.1005805
0.0055200,0.1005910
0.0055250,0.1006000
0.0055300,0.1006004
0.0055350,0.1005910
0.0055400,0.1005755
0.0055450,0.1005585
0.0055500,0.1005432
0.0055550,0.1005316
0.0055600,0.1005253
0.0055650,0.1005251
0.0055700,0.1005307
0.0055750,0.1005397
0.0055800,0.1005480
0.0055850,0.1005505
0.0055900,0.1005436
0.0055950,0.1005312
0.0056000,0.1002294
0.0056050,0.1002268
0.0056100,0.1002410
0.0056150,0.1002636
0.0056200,0.1002856
0.0056250,0.1003001
0.0056300,0.1003046
0.0056350,0.1003013
0.0056400,0.1002955
0.0056450,0.1002929
0.0056500,0.1002986
0.0056550,0.1003146
0.0056600,0.1003382
0.0056650,0.1003619
0.0056700,0.1003761
0.0056750,0.1003743
0.0056800,0.1003585
0.0056850,0.1003379
0.0056900,0.1003217
0.0056950,0.1003140
0.0057000,0.0609467
0.0057050,0.0609436
0.0057100,0.0609387
0.0057150,0.0609302
0.0057200,0.0609180
0.0057250,0.0609047
0.0057300,0.0608932
0.0057350,0.0608861
0.0057400,0.0608852
0.0057450,0.0608918
0.0057500,0.0609035
0.0057550,0.0609141
0.0057600,0.0609167
0.0057650,0.0609088
0.0057700,0.0608955
0.0057750,0.0608837
0.0057800,0.0608778
