E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
36.448,417.615,254.102,163.513
36.6107,425.723,262.92,162.804
36.7734,425.906,263.809,162.097
36.9361,416.689,255.296,161.393
37.0988,417.118,256.426,160.692
37.2616,421.958,261.964,159.994
37.4243,417.122,257.822,159.299
37.587,420.835,262.228,158.608
37.7497,424.387,266.468,157.919
37.9124,415.091,257.858,157.233
38.0751,415.909,259.359,156.55
38.2378,416.64,260.769,155.871
38.4005,418.099,262.905,155.194
38.5633,411.166,256.646,154.52
38.726,422.409,268.559,153.849
38.8887,410.92,257.739,153.182
39.0514,418.805,266.288,152.517
39.2141,408.572,256.717,151.856
39.3768,408.69,257.493,151.197
39.5395,419.48,268.938,150.541
39.7023,413.32,263.431,149.889
39.865,407.799,258.56,149.239
40.0277,405.835,257.243,148.592
40.1904,413.508,265.56,147.949
40.3531,412.68,265.373,147.308
40.5158,407.477,260.807,146.67
40.6785,408.415,262.38,146.035
40.8413,407.122,261.718,145.403
41.004,409.389,264.614,144.774
41.1667,406.775,262.627,144.149
41.3294,406.703,263.178,143.526
41.4921,401.179,258.273,142.906
41.6548,400.418,258.13,142.288
41.8175,404.906,263.232,141.674
41.9803,405.29,264.227,141.063
42.143,402.951,262.496,140.455
42.3057,402.013,262.164,139.849
42.4684,401.428,262.182,139.246
42.6311,403.402,264.755,138.647
42.7938,403.689,265.64,138.05
42.9565,403.629,266.173,137.456
43.1193,404.428,267.563,136.865
43.282,402.304,266.028,136.277
43.4447,404.036,268.345,135.691
43.6074,399.911,264.802,135.109
43.7701,402.472,267.943,134.529
43.9328,401.485,267.533,133.952
44.0955,398.285,264.907,133.378
44.2583,401.524,268.717,132.807
44.421,398.158,265.919,132.238
44.5837,394.162,262.489,131.673
44.7464,401.603,270.494,131.11
44.9091,405.357,274.807,130.55
45.0718,398.003,268.011,129.992
45.2345,403.342,273.904,129.438
45.3973,403.509,274.623,128.886
45.56,402.703,274.366,128.337
45.7227,400.275,272.485,127.79
45.8854,401.713,274.466,127.246
46.0481,401.679,274.973,126.705
46.2108,399.02,272.853,126.167
46.3735,405.667,280.036,125.631
46.5363,405.175,280.076,125.098
46.699,405.545,280.977,124.568
46.8617,400.358,276.318,124.04
47.0244,400.544,277.029,123.515
47.1871,405.135,282.142,122.993
47.3498,402.196,279.723,122.473
47.5125,407.047,285.091,121.956
47.6753,404.894,283.453,121.441
47.838,406.392,285.463,120.929
48.0007,406.403,285.983,120.42
48.1634,404.609,284.696,119.913
48.3261,405.036,285.627,119.409
48.4888,406.868,287.961,118.907
48.6515,405.776,287.369,118.408
48.8143,409.413,291.502,117.911
48.977,403.742,286.326,117.417
49.1397,411.886,294.961,116.925
49.3024,403.515,287.079,116.436
49.4651,406.291,290.342,115.949
49.6278,407.477,292.012,115.465
49.7905,407.649,292.666,114.983
49.9533,410.748,296.244,114.504
50.116,409.125,295.098,114.027
50.2787,413.253,299.701,113.552
50.4414,412.005,298.925,113.08
50.6041,411.878,299.267,112.611
50.7668,411.048,298.904,112.143
50.9295,409.415,297.736,111.679
51.0923,410.908,299.692,111.216
51.255,407.109,296.354,110.756
51.4177,413.331,303.033,110.298
51.5804,412.253,302.411,109.843
51.7431,403.111,293.722,109.389
51.9058,413.613,304.674,108.939
52.0685,407.164,298.674,108.49
52.2313,412.145,304.101,108.044
52.394,411.348,303.748,107.6
52.5567,406.645,299.486,107.158
52.7194,406.011,299.292,106.719
52.8821,409.994,303.713,106.281
53.0448,406.887,301.041,105.846
53.2075,403.718,298.305,105.414
53.3703,404.574,299.591,104.983
53.533,405.66,301.105,104.555
53.6957,407.242,303.113,104.129
53.8584,405.643,301.938,103.705
54.0211,408.115,304.832,103.283
54.1838,410.482,307.619,102.863
54.3465,413.743,311.297,102.446
54.5093,413.437,311.406,102.031
54.672,406.44,304.822,101.617
54.8347,406.514,305.307,101.206
54.9974,408.361,307.564,100.797
55.1601,404.147,303.757,100.391
55.3228,404.241,304.255,99.9857
55.4855,400.71,301.127,99.583
55.6483,406.498,307.315,99.1824
55.811,406.114,307.331,98.7838
55.9737,406.294,307.907,98.3872
56.1364,406.729,308.736,97.9927
56.2991,411.485,313.885,97.6001
56.4618,405.269,308.06,97.2096
56.6245,402.975,306.153,96.8211
56.7873,407.837,311.403,96.4346
56.95,404.582,308.532,96.0501
57.1127,406.28,310.613,95.6675
57.2754,406.777,311.49,95.2869
57.4381,403.861,308.953,94.9082
57.6008,405.897,311.366,94.5315
57.7635,406.823,312.667,94.1567
57.9263,408.295,314.511,93.7838
58.089,405.846,312.434,93.4128
58.2517,410.076,317.032,93.0437
58.4144,401.92,309.243,92.6765
58.5771,407.368,315.056,92.3112
58.7398,405.287,313.339,91.9477
58.9025,406.392,314.806,91.5861
59.0653,403.427,312.2,91.2263
