Time (ns),Water after lsq fit to Water
0.0054900,0.5977205
0.0054950,0.5977647
0.0055000,0.6411567
0.0055050,0.6411452
0.0055100,0.6411467
0.0055150,0.6411622
0.0055200,0.6411929
0.0055250,0.6412395
0.0055300,0.6413023
0.0055350,0.6413792
0.0055400,0.6414691
0.0055450,0.6415706
0.0055500,0.6416817
0.0055550,0.6417986
0.0055600,0.6419176
0.0055650,0.6420365
0.0055700,0.6421555
0.0055750,0.6422768
0.0055800,0.6424020
0.0055850,0.6425297
0.0055900,0.6426573
0.0055950,0.6427824
0.0056000,0.4914013
0.0056050,0.4915420
0.0056100,0.4916751
0.0056150,0.4917935
0.0056200,0.4918947
0.0056250,0.4919747
0.0056300,0.4920307
0.0056350,0.4920660
0.0056400,0.4920884
0.0056450,0.4921020
0.0056500,0.4921053
0.0056550,0.4920993
0.0056600,0.4920904
0.0056650,0.4920821
0.0056700,0.4920751
0.0056750,0.4920720
0.0056800,0.4920770
0.0056850,0.4920896
0.0056900,0.4921076
0.0056950,0.4921320
0.0057000,0.5481471
0.0057050,0.5481763
0.0057100,0.5482117
0.0057150,0.5482521
0.0057200,0.5483009
0.0057250,0.5483576
0.0057300,0.5484176
0.0057350,0.5484797
0.0057400,0.5485451
0.0057450,0.5486122
0.0057500,0.5486774
0.0057550,0.5487380
0.0057600,0.5487925
0.0057650,0.5488376
0.0057700,0.5488697
0.0057750,0.5488887
0.0057800,0.5488974
0.0057850,0.5488962
0.0057900,0.5488838
