Time (ps),Radius (nm)
1524,1.56465
1525,1.56509
1526,1.56492
1527,1.56492
1528,1.5647
1529,1.56474
1530,1.56513
1531,1.56528
1532,1.56448
1533,1.56534
1534,1.56425
1535,1.56503
1536,1.56506
1537,1.56461
1538,1.5652
1539,1.56487
1540,1.56465
1541,1.56515
1542,1.56494
1543,1.56423
1544,1.56528
1545,1.56494
1546,1.56483
1547,1.5649
1548,1.56501
1549,1.56484
1550,1.565
1551,1.56503
1552,1.56454
1553,1.56517
1554,1.56491
1555,1.56476
1556,1.56493
1557,1.56533
1558,1.56488
1559,1.56463
1560,1.56501
1561,1.5646
1562,1.56488
1563,1.5648
1564,1.56494
1565,1.56511
1566,1.56507
1567,1.56483
1568,1.56506
1569,1.56502
1570,1.56491
1571,1.56547
1572,1.5643
1573,1.56488
1574,1.56542
1575,1.5646
1576,1.56533
1577,1.56467
1578,1.56498
1579,1.56521
1580,1.5645
1581,1.56486
1582,1.56554
1583,1.56471
1584,1.56526
1585,1.5654
1586,1.56435
1587,1.56546
1588,1.56502
1589,1.56472
1590,1.56515
1591,1.56509
1592,1.56458
1593,1.56519
1594,1.56488
1595,1.56503
1596,1.56484
1597,1.56518
1598,1.56526
1599,1.5646
1600,1.56542
1601,1.56478
1602,1.56484
1603,1.56498
1604,1.56495
1605,1.56495
1606,1.56515
1607,1.56507
1608,1.56479
1609,1.56537
1610,1.56465
1611,1.56499
1612,1.56505
1613,1.56442
1614,1.56569
1615,1.56499
1616,1.56491
1617,1.56494
1618,1.565
1619,1.56512
1620,1.56459
1621,1.5654
1622,1.56522
1623,1.5647
1624,1.56534
1625,1.56463
1626,1.56492
1627,1.5654
1628,1.56492
1629,1.56495
1630,1.56541
1631,1.56411
1632,1.56568
1633,1.56514
1634,1.56434
1635,1.56511
1636,1.56524
1637,1.56421
1638,1.56533
1639,1.56511
1640,1.56499
1641,1.56561
1642,1.56454
1643,1.56527
1644,1.56495
1645,1.56469
1646,1.56529
1647,1.56439
1648,1.56508
1649,1.56523
1650,1.56507
1651,1.56472
1652,1.56503
1653,1.56527
1654,1.56506
1655,1.56515
1656,1.56497
1657,1.565
1658,1.56474
1659,1.56566
1660,1.56438
1661,1.56511
1662,1.56513
1663,1.56497
1664,1.56501
1665,1.56526
1666,1.56485
1667,1.56486
1668,1.56484
1669,1.56456
1670,1.56513
1671,1.5652
1672,1.56473
1673,1.56532
1674,1.56436
1675,1.56542
1676,1.56505
1677,1.56459
1678,1.56509
1679,1.5651
1680,1.5646
1681,1.56502
1682,1.56508
1683,1.56476
1684,1.5652
1685,1.5649
1686,1.56493
1687,1.5652
1688,1.56472
1689,1.56478
1690,1.56511
1691,1.56486
1692,1.56495
1693,1.56508
1694,1.56495
1695,1.56515
1696,1.56489
1697,1.56511
1698,1.56497
1699,1.56449
1700,1.5653
1701,1.56444
1702,1.56557
1703,1.56501
1704,1.56463
1705,1.565
1706,1.56516
1707,1.56463
1708,1.5656
1709,1.56477
1710,1.56489
1711,1.56533
1712,1.56475
1713,1.56529
1714,1.56514
1715,1.56489
1716,1.56534
1717,1.56494
1718,1.56489
1719,1.56496
1720,1.56541
1721,1.56504
1722,1.56523
1723,1.56531
1724,1.5645
1725,1.56552
1726,1.56482
1727,1.56556
1728,1.56514
1729,1.56488
1730,1.56565
1731,1.56486
1732,1.56494
1733,1.56531
1734,1.56462
1735,1.56503
1736,1.56479
1737,1.56491
1738,1.56513
1739,1.56475
