Time (ps),Radius (nm)
566,1.56549
566.5,1.56467
567,1.56482
567.5,1.56589
568,1.56533
568.5,1.56444
569,1.56528
569.5,1.5659
570,1.56487
570.5,1.56507
571,1.56523
571.5,1.565
572,1.56484
572.5,1.56512
573,1.56549
573.5,1.56469
574,1.56568
574.5,1.56558
575,1.5646
575.5,1.56493
576,1.56556
576.5,1.56519
577,1.56492
577.5,1.5651
578,1.56548
578.5,1.56518
579,1.56501
579.5,1.56513
580,1.5652
580.5,1.5652
581,1.5654
581.5,1.56496
582,1.56497
582.5,1.56535
583,1.565
583.5,1.5653
584,1.56524
584.5,1.56448
585,1.56526
585.5,1.56541
586,1.56438
586.5,1.56493
587,1.56537
587.5,1.56451
588,1.56553
588.5,1.56528
589,1.56457
589.5,1.56502
590,1.5648
590.5,1.56476
591,1.56501
591.5,1.56498
592,1.56533
592.5,1.56496
593,1.56436
593.5,1.56509
594,1.56503
594.5,1.56464
595,1.56485
595.5,1.56536
596,1.56463
596.5,1.56457
597,1.56501
597.5,1.56506
598,1.56472
598.5,1.56504
599,1.56482
599.5,1.56534
600,1.56478
600.5,1.56489
601,1.56494
601.5,1.56467
602,1.56467
602.5,1.5652
603,1.56489
603.5,1.56456
604,1.5654
604.5,1.56501
605,1.56454
605.5,1.5648
606,1.56503
606.5,1.56487
607,1.56468
607.5,1.56485
608,1.56457
608.5,1.56439
609,1.56539
609.5,1.56469
610,1.5647
610.5,1.56485
611,1.56467
611.5,1.56503
612,1.56465
612.5,1.56432
613,1.56447
613.5,1.56537
614,1.56443
614.5,1.56445
615,1.56504
615.5,1.56513
616,1.56503
616.5,1.56463
617,1.56525
617.5,1.56462
618,1.56467
618.5,1.56535
619,1.56438
619.5,1.56439
620,1.56503
620.5,1.56456
621,1.56478
621.5,1.56483
622,1.56445
622.5,1.56472
623,1.56502
623.5,1.56486
624,1.56445
624.5,1.56425
625,1.56457
625.5,1.56461
626,1.56496
626.5,1.5644
627,1.56484
627.5,1.56511
628,1.56478
628.5,1.56456
629,1.56463
629.5,1.56474
630,1.56459
630.5,1.56455
631,1.56512
631.5,1.56416
632,1.56504
632.5,1.56529
633,1.56469
633.5,1.56459
634,1.56441
634.5,1.56517
635,1.56486
635.5,1.56433
636,1.56498
636.5,1.56504
637,1.56449
637.5,1.56516
638,1.56481
638.5,1.56428
639,1.56503
639.5,1.56515
640,1.56434
640.5,1.56457
641,1.56517
641.5,1.56452
642,1.56463
642.5,1.56555
643,1.56437
643.5,1.56439
644,1.56522
644.5,1.56414
645,1.56458
645.5,1.56508
646,1.56454
646.5,1.56477
647,1.56505
647.5,1.56453
648,1.56466
648.5,1.56478
649,1.56473
649.5,1.56478
650,1.56477
650.5,1.56486
651,1.56448
651.5,1.56482
652,1.56515
652.5,1.5646
653,1.56459
653.5,1.56483
654,1.56469
654.5,1.5647
655,1.56487
655.5,1.56473
656,1.56422
656.5,1.56478
657,1.56524
657.5,1.56442
658,1.56468
658.5,1.56498
659,1.56475
659.5,1.56472
660,1.56462
660.5,1.56478
661,1.56482
661.5,1.56471
662,1.56483
662.5,1.56454
663,1.56558
663.5,1.56451
664,1.56462
664.5,1.56463
665,1.56496
665.5,1.56484
666,1.56462
666.5,1.5648
667,1.56492
667.5,1.5644
668,1.56474
668.5,1.56485
669,1.5647
669.5,1.56491
670,1.5648
670.5,1.56503
671,1.56466
671.5,1.56474
672,1.56537
672.5,1.56439
673,1.56455
673.5,1.56494
674,1.56513
674.5,1.56449
675,1.56471
675.5,1.56503
676,1.56473
676.5,1.56464
677,1.565
677.5,1.56437
678,1.56468
678.5,1.56512
679,1.56443
679.5,1.56454
680,1.56544
680.5,1.56462
681,1.56454
681.5,1.56514
682,1.5648
682.5,1.56415
683,1.56467
683.5,1.56499
684,1.56424
684.5,1.56464
685,1.5652
685.5,1.56454
686,1.56438
686.5,1.56465
687,1.56515
687.5,1.5648
688,1.56492
688.5,1.56454
689,1.56487
689.5,1.56489
690,1.56455
690.5,1.56502
691,1.56476
691.5,1.56523
692,1.56471
692.5,1.56432
693,1.56557
693.5,1.56473
694,1.56449
694.5,1.56502
695,1.56524
695.5,1.5647
696,1.56438
696.5,1.56521
697,1.56489
697.5,1.56441
698,1.56499
698.5,1.56482
699,1.56475
699.5,1.56514
700,1.5644
700.5,1.56482
701,1.56483
701.5,1.56487
702,1.56474
702.5,1.56486
703,1.56517
703.5,1.56489
704,1.56535
704.5,1.56495
705,1.56513
705.5,1.56486
706,1.56489
706.5,1.56493
707,1.56533
707.5,1.56456
708,1.5646
708.5,1.5652
709,1.56469
709.5,1.56479
710,1.56535
710.5,1.56464
711,1.56479
711.5,1.56514
712,1.56474
712.5,1.56491
713,1.56497
713.5,1.5652
714,1.5652
714.5,1.56454
715,1.56526
715.5,1.56481
716,1.56463
716.5,1.56532
717,1.56468
717.5,1.56475
718,1.5654
718.5,1.56454
719,1.5647
719.5,1.56518
720,1.56517
720.5,1.56448
721,1.5647
721.5,1.56519
722,1.56467
722.5,1.56519
723,1.56492
723.5,1.56466
724,1.56476
724.5,1.56523
725,1.56497
725.5,1.56478
726,1.56508
726.5,1.56466
727,1.56506
727.5,1.56545
728,1.56479
728.5,1.56494
729,1.56513
729.5,1.56493
730,1.5647
730.5,1.56492
731,1.56506
731.5,1.56468
732,1.56502
732.5,1.56446
733,1.56491
733.5,1.56506
734,1.56476
734.5,1.565
735,1.56493
735.5,1.565
736,1.56428
736.5,1.56502
737,1.5654
737.5,1.56478
738,1.56482
738.5,1.56487
739,1.56519
739.5,1.56438
740,1.56507
740.5,1.5657
741,1.56464
741.5,1.56466
742,1.56502
742.5,1.56501
743,1.56474
743.5,1.56488
744,1.56484
744.5,1.56465
745,1.56496
745.5,1.56483
746,1.56477
746.5,1.56515
747,1.56488
747.5,1.56486
748,1.56506
748.5,1.56511
749,1.56473
749.5,1.56507
750,1.565
750.5,1.56461
751,1.56505
751.5,1.56508
752,1.56461
752.5,1.56473
753,1.56513
753.5,1.56476
754,1.56457
754.5,1.56523
755,1.56494
755.5,1.56485
756,1.56539
756.5,1.56499
757,1.56484
757.5,1.5648
758,1.56495
758.5,1.56479
759,1.56477
759.5,1.56527
760,1.56476
760.5,1.56509
761,1.56507
761.5,1.56496
762,1.56457
762.5,1.5652
763,1.56518
763.5,1.56465
764,1.56492
764.5,1.56513
765,1.56468
765.5,1.56478
766,1.56485
766.5,1.5651
767,1.56493
767.5,1.56472
768,1.56504
768.5,1.56512
769,1.56461
769.5,1.56466
770,1.56507
770.5,1.56507
771,1.56448
771.5,1.56497
772,1.56559
772.5,1.56452
773,1.56441
773.5,1.56555
774,1.56498
774.5,1.56448
775,1.56547
775.5,1.56503
776,1.56488
776.5,1.565
777,1.56532
777.5,1.56457
778,1.56489
778.5,1.56539
779,1.56478
779.5,1.56513
780,1.56482
780.5,1.56458
781,1.56543
781.5,1.56496
782,1.56461
782.5,1.56505
783,1.5651
783.5,1.56477
784,1.56487
784.5,1.56509
785,1.5646
785.5,1.56483
786,1.56522
786.5,1.56535
787,1.56429
787.5,1.56497
788,1.56544
788.5,1.56454
789,1.56492
789.5,1.56528
790,1.56469
790.5,1.56471
791,1.56523
791.5,1.56472
792,1.56474
792.5,1.56559
793,1.5646
793.5,1.56436
794,1.56537
794.5,1.56475
795,1.56488
795.5,1.56556
796,1.56477
796.5,1.56473
797,1.56505
797.5,1.56526
798,1.56489
798.5,1.56461
799,1.56532
799.5,1.56512
800,1.56457
800.5,1.56511
801,1.56522
801.5,1.56478
802,1.56441
802.5,1.5655
803,1.56492
803.5,1.5651
804,1.5648
804.5,1.56457
805,1.56542
805.5,1.56491
806,1.56478
806.5,1.56546
807,1.56492
807.5,1.56468
808,1.56463
808.5,1.56488
809,1.5652
809.5,1.56493
810,1.56486
810.5,1.56473
811,1.5648
811.5,1.56521
812,1.56501
812.5,1.56489
813,1.56471
813.5,1.56479
814,1.56498
814.5,1.56515
815,1.56501
815.5,1.56456
816,1.56489
816.5,1.5653
817,1.56491
817.5,1.56485
818,1.56518
818.5,1.56541
819,1.56478
819.5,1.56486
820,1.56558
820.5,1.56488
821,1.56432
821.5,1.56528
822,1.56517
822.5,1.56438
823,1.56498
823.5,1.56562
824,1.56444
824.5,1.56484
825,1.56547
825.5,1.56457
826,1.56444
826.5,1.56521
827,1.5655
827.5,1.56456
828,1.56482
828.5,1.56526
829,1.56439
829.5,1.56538
830,1.56531
830.5,1.56454
831,1.565
831.5,1.56532
832,1.56517
832.5,1.56443
833,1.56523
833.5,1.56507
834,1.56481
834.5,1.56479
835,1.56511
835.5,1.56503
836,1.56494
836.5,1.56476
837,1.56511
837.5,1.56502
838,1.56507
838.5,1.56501
839,1.56456
839.5,1.56529
840,1.56485
840.5,1.56479
841,1.56547
841.5,1.56483
842,1.56471
842.5,1.5656
843,1.56451
843.5,1.56453
844,1.56524
844.5,1.56468
845,1.56478
845.5,1.5649
846,1.56507
846.5,1.5651
847,1.56455
847.5,1.56473
848,1.56544
848.5,1.56478
849,1.56454
849.5,1.56522
850,1.56499
850.5,1.56458
851,1.56497
851.5,1.56525
852,1.56494
852.5,1.56484
853,1.56474
853.5,1.56486
854,1.56465
854.5,1.56512
855,1.56539
855.5,1.56467
856,1.56512
856.5,1.56504
857,1.56486
857.5,1.56502
858,1.56466
858.5,1.56497
859,1.56524
859.5,1.56483
860,1.56477
860.5,1.56514
861,1.56481
861.5,1.56481
862,1.5649
862.5,1.56504
863,1.56492
863.5,1.56507
864,1.56545
864.5,1.56484
865,1.56502
865.5,1.56518
866,1.56451
866.5,1.56468
867,1.56553
867.5,1.56448
868,1.5643
868.5,1.56536
869,1.56498
869.5,1.56447
870,1.56544
870.5,1.56549
871,1.56469
